Negara,Tahun,GDP_Nominal,Unemployment,FDI_Net_Inflows,Inflation
USA,2018,62875.66614,3.896,2.15E+11,2.442583297
USA,2019,65227.95659,3.669,3.16E+11,1.812210075
USA,2020,64401.50744,8.055,1.37E+11,1.233584396
USA,2021,71307.40173,5.349,4.76E+11,4.697858864
USA,2022,77860.91129,3.65,4.09E+11,8.002799821
Malaysia,2013,10713.64076,3.16,11296279514,2.105012312
Malaysia,2014,11013.31073,2.88,10619431583,3.142990509
Malaysia,2015,9648.679794,3.1,9857162112,2.104389802
Malaysia,2016,9476.534098,3.44,13470089921,2.090566595
Malaysia,2017,9862.548066,3.41,9368469823,3.871201158
Malaysia,2018,10901.802,3.3,8304480742,0.884709161
Malaysia,2019,10920.19176,3.26,9154921685,0.662891866
Malaysia,2020,9957.526267,4.54,4058769679,-1.138702154
Malaysia,2021,10903.11164,4.64,20245157327,2.477102415
Malaysia,2022,11748.09193,3.93,15027992711,3.378698625
Singapore,2013,56967.42579,3.86,64389514904,2.364397937
Singapore,2014,57564.80231,3.74,68698472831,1.033169559
Singapore,2015,55645.60686,3.79,69774553125,-0.521975612
Singapore,2016,57005.58872,4.08,65133174223,-0.52980976
Singapore,2017,61236.25127,4.2,1.02E+11,0.576763191
Singapore,2018,66881.6067,3.613,83413645041,0.438784215
Singapore,2019,65952.0379,3.1,1.07E+11,0.567829988
Singapore,2020,61410.07926,4.1,79753262990,-0.172111866
Singapore,2021,80056.12882,4.64,1.45E+11,2.316103158
Singapore,2022,90299.06946,3.591,1.50E+11,6.130954189
Pakistan,2013,1225.434012,2.954,1333000000,7.692156119
Pakistan,2014,1266.613408,1.827,1887000000,7.189384028
Pakistan,2015,1380.470208,3.566,1673000000,2.529328173
Pakistan,2016,1424.691612,2.285,2576000000,3.765119164
Pakistan,2017,1519.234595,3.215,2496000000,4.08537368
Pakistan,2018,1569.338146,4.083,1737000000,5.078057259
Pakistan,2019,1390.41691,4.83,2234000000,10.5783618
Pakistan,2020,1278.397352,6.127,2057000000,9.739993139
Pakistan,2021,1455.319224,6.338,2147000000,9.496210561
Pakistan,2022,1538.322813,5.485,1462000000,19.87385996
Saudi Arabia,2013,27865.4656,5.6,3371408457,3.529955158
